Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-05-02,78.679,79.104,78.149,78.843,899000,0.0,0.0
2017-05-03,78.467,78.699,77.194,78.245,1891600,0.0,0.0
2017-05-04,81.805,83.185,81.323,83.108,3042100,0.0,0.0
2017-05-05,83.571,83.571,82.732,83.04,1728500,0.0,0.0
2017-05-08,83.301,83.87,83.089,83.494,1155100,0.0,0.0
2017-05-09,83.581,84.468,83.397,84.198,1591000,0.0,0.0
2017-05-10,84.188,85.066,84.063,84.7,1188900,0.0,0.0
2017-05-11,84.198,85.192,83.928,85.144,853100,0.0,0.0
2017-05-12,84.97,85.144,84.42,84.652,935200,0.0,0.0
2017-05-15,84.632,86.668,84.594,86.292,1230000,0.0,0.0
2017-05-16,86.62,86.813,85.954,86.215,985200,0.0,0.0
2017-05-17,86.215,86.215,84.97,84.999,1329600,0.0,0.0
2017-05-18,84.989,86.234,84.594,85.645,1014500,0.0,0.0
2017-05-19,86.147,87.131,85.886,86.871,1006500,0.0,0.0
2017-05-22,87.131,88.549,87.035,88.501,926900,0.0,0.0
2017-05-23,88.713,88.935,87.758,87.999,1477800,0.0,0.0
2017-05-24,88.019,89.379,87.749,89.254,1037300,0.0,0.0
2017-05-25,89.726,89.775,89.07,89.119,1061600,0.0,0.0
2017-05-26,88.945,89.418,88.53,88.617,1068000,0.0,0.0
2017-05-30,88.588,89.012,88.356,88.742,845100,0.0,0.0
2017-05-31,88.964,89.128,88.125,88.385,1419500,0.0,0.0
2017-06-01,88.723,90.025,88.723,90.025,1252400,0.0,0.0
2017-06-02,89.997,90.025,88.897,89.138,1226400,0.0,0.0
2017-06-05,89.389,89.659,88.424,88.491,1529400,0.0,0.0
2017-06-06,88.414,90.228,87.951,88.993,1171000,0.0,0.0
2017-06-07,89.044,89.662,88.736,89.015,859800,0.013,0.0
2017-06-08,89.015,89.015,87.221,87.886,1056400,0.0,0.0
2017-06-09,87.944,87.964,85.291,85.976,1719600,0.0,0.0
2017-06-12,85.551,86.362,84.239,86.362,1392400,0.0,0.0
2017-06-13,86.844,88.234,86.844,87.616,926400,0.0,0.0
2017-06-14,87.819,87.983,86.68,87.23,698600,0.0,0.0
2017-06-15,86.246,87.52,85.522,87.172,839800,0.0,0.0
2017-06-16,87.143,87.143,86.053,86.41,1159200,0.0,0.0
2017-06-19,86.757,87.549,86.246,86.603,679500,0.0,0.0
2017-06-20,86.333,87.394,85.928,85.985,616000,0.0,0.0
2017-06-21,86.149,86.912,85.831,86.468,862800,0.0,0.0
2017-06-22,86.564,87.664,85.976,87.307,914600,0.0,0.0
2017-06-23,87.674,88.214,86.95,88.06,1176000,0.0,0.0
2017-06-26,88.118,88.668,86.95,87.085,515000,0.0,0.0
2017-06-27,86.921,87.442,86.275,86.709,793100,0.0,0.0
2017-06-28,87.336,88.745,86.449,88.658,1066200,0.0,0.0
2017-06-29,88.417,88.61,86.516,87.24,971100,0.0,0.0
2017-06-30,87.828,88.041,87.153,87.153,665200,0.0,0.0
2017-07-03,87.674,87.693,86.632,86.892,476500,0.0,0.0
2017-07-05,86.941,87.491,86.294,86.728,946800,0.0,0.0
2017-07-06,86.121,86.121,84.963,85.31,963400,0.0,0.0
2017-07-07,85.657,86.439,85.31,85.87,864700,0.0,0.0
2017-07-10,85.638,86.227,84.905,85.542,1331000,0.0,0.0
2017-07-11,85.378,85.628,84.779,85.213,1173100,0.0,0.0
2017-07-12,85.696,87.076,85.696,87.028,748200,0.0,0.0
2017-07-13,87.346,87.703,86.825,87.5,727200,0.0,0.0
2017-07-14,87.703,88.687,87.143,88.639,840500,0.0,0.0
2017-07-17,88.9,88.938,86.275,88.166,1427900,0.0,0.0
2017-07-18,87.751,88.523,87.269,88.494,870400,0.0,0.0
2017-07-19,88.851,89.72,88.504,89.546,933700,0.0,0.0
2017-07-20,89.527,90.579,89.276,90.328,1166000,0.0,0.0
2017-07-21,90.347,91.013,90.115,90.492,894000,0.0,0.0
2017-07-24,90.559,91.669,90.26,91.476,766900,0.0,0.0
2017-07-25,91.717,92.238,91.254,91.679,837000,0.0,0.0
2017-07-26,91.717,92.093,91.273,91.958,662800,0.0,0.0
2017-07-27,92.142,92.325,90.492,91.302,861900,0.0,0.0
2017-07-28,90.858,91.765,90.656,91.206,600100,0.0,0.0
2017-07-31,91.601,92.016,90.858,91.061,793600,0.0,0.0
