Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-10-13,63.858,64.637,63.476,64.434,961500,0.0,0.0
2017-10-16,64.497,64.66,63.453,63.78,613200,0.0,0.0
2017-10-17,63.671,64.037,63.414,64.029,854400,0.0,0.0
2017-10-18,63.913,64.029,63.243,63.819,712000,0.0,0.0
2017-10-19,63.975,64.185,63.266,63.648,655700,0.0,0.0
2017-10-20,63.507,63.827,63.32,63.702,979500,0.0,0.0
2017-10-23,63.694,64.193,63.453,63.78,656400,0.0,0.0
2017-10-24,63.718,63.874,61.996,62.643,1111500,0.0,0.0
2017-10-25,62.238,63.133,62.175,62.83,1356700,0.0,0.0
2017-10-26,62.83,62.83,59.636,61.311,2684300,0.0,0.0
2017-10-27,61.178,62.705,61.178,62.557,1114900,0.0,0.0
2017-10-30,62.51,63.227,62.277,63.172,725100,0.0,0.0
2017-10-31,63.095,63.671,62.456,63.562,913100,0.0,0.0
2017-11-01,63.562,63.881,62.721,63.57,1310500,0.0,0.0
2017-11-02,63.624,66.935,63.492,64.754,2279400,0.0,0.0
2017-11-03,64.614,66.701,64.473,66.25,1251300,0.0,0.0
2017-11-06,66.437,67.582,66.398,67.013,1222200,0.0,0.0
2017-11-07,67.239,68.018,66.452,66.748,1331700,0.0,0.0
2017-11-08,66.998,67.769,66.834,67.005,1289900,0.0,0.0
2017-11-09,66.904,67.239,66.335,66.569,750000,0.0,0.0
2017-11-10,66.429,67.044,66.109,66.998,653800,0.0,0.0
2017-11-13,67.301,67.862,66.982,67.675,917200,0.0,0.0
2017-11-14,67.683,67.854,66.982,67.262,782200,0.0,0.0
2017-11-15,67.262,67.714,66.631,66.74,693000,0.0,0.0
2017-11-16,66.717,68.057,66.39,67.932,1578000,0.0,0.0
2017-11-17,67.706,68.151,67.519,67.932,1581600,0.0,0.0
2017-11-20,68.049,68.47,67.87,68.049,869400,0.0,0.0
2017-11-21,68.322,68.595,68.026,68.291,824100,0.0,0.0
2017-11-22,68.096,68.361,67.551,68.104,860600,0.0,0.0
2017-11-24,68.33,68.376,68.01,68.073,283000,0.0,0.0
2017-11-27,68.221,68.408,68.026,68.088,1075200,0.0,0.0
2017-11-28,68.088,68.189,65.377,66.382,1402000,0.0,0.0
2017-11-29,66.452,67.138,66.133,66.265,1134400,0.0,0.0
2017-11-30,66.476,66.959,66.226,66.499,1637100,0.0,0.0
2017-12-01,66.67,67.06,66.047,66.374,1160700,0.0,0.0
2017-12-04,66.39,66.701,65.993,66.102,1091800,0.0,0.0
2017-12-05,66.335,66.795,65.922,66.117,682800,0.0,0.0
2017-12-06,66.164,66.826,65.993,66.561,890500,0.0,0.0
2017-12-07,66.764,66.764,65.743,66.413,900000,0.0,0.0
2017-12-08,66.639,67.496,66.374,67.216,883400,0.0,0.0
2017-12-11,67.107,68.556,66.966,68.415,907700,0.0,0.0
2017-12-12,68.345,68.867,68.002,68.447,1087900,0.0,0.0
2017-12-13,68.945,68.992,68.228,68.244,961700,0.0,0.0
2017-12-14,68.472,68.543,68.055,68.071,906300,0.78,0.0
2017-12-15,68.244,68.944,67.992,68.826,1543000,0.0,0.0
2017-12-18,68.865,69.423,68.731,68.841,710700,0.0,0.0
2017-12-19,68.779,68.959,67.513,67.757,1172000,0.0,0.0
2017-12-20,67.662,68.04,67.293,67.332,901500,0.0,0.0
2017-12-21,67.466,67.654,66.735,66.947,708900,0.0,0.0
2017-12-22,67.096,67.694,66.868,67.694,563500,0.0,0.0
2017-12-26,67.843,68.425,67.521,68.228,504900,0.0,0.0
2017-12-27,68.409,68.967,68.401,68.708,438900,0.0,0.0
2017-12-28,68.779,69.101,68.425,68.983,632200,0.0,0.0
2017-12-29,69.038,69.195,68.668,68.739,631200,0.0,0.0
2018-01-02,68.975,69.038,67.246,67.348,1135300,0.0,0.0
2018-01-03,67.427,68.401,67.206,67.489,722500,0.0,0.0
2018-01-04,67.411,67.67,65.886,66.263,702500,0.0,0.0
2018-01-05,66.373,66.609,65.878,65.949,806600,0.0,0.0
2018-01-08,66.106,67.096,65.996,66.947,1129500,0.0,0.0
2018-01-09,66.703,67.159,65.249,65.328,1044700,0.0,0.0
2018-01-10,65.037,65.076,63.26,64.738,1056900,0.0,0.0
2018-01-11,64.754,65.367,64.565,64.652,838400,0.0,0.0
2018-01-12,64.675,64.683,63.952,64.652,835100,0.0,0.0
2018-01-16,64.738,66.114,64.738,65.013,882500,0.0,0.0
2018-01-17,65.265,66.059,65.147,65.603,1169300,0.0,0.0
2018-01-18,65.603,65.603,64.557,65.005,1083100,0.0,0.0
2018-01-19,65.076,65.752,64.88,65.744,1020200,0.0,0.0
2018-01-22,65.87,67.151,65.501,66.931,1252400,0.0,0.0
2018-01-23,67.112,68.417,66.916,68.165,1231100,0.0,0.0
2018-01-24,68.142,68.378,66.868,67.238,808700,0.0,0.0
2018-01-25,66.986,67.049,66.216,66.813,865000,0.0,0.0
2018-01-26,67.01,67.01,65.854,66.192,1022600,0.0,0.0
2018-01-29,65.957,65.957,64.723,65.076,1210500,0.0,0.0
2018-01-30,64.707,65.469,64.188,65.171,1009900,0.0,0.0
2018-01-31,65.194,65.941,65.021,65.619,4801600,0.0,0.0
2018-02-01,65.666,65.666,64.235,64.502,1202900,0.0,0.0
2018-02-02,64.141,64.888,63.394,64.33,1219500,0.0,0.0
2018-02-05,63.921,64.565,62.034,62.781,1111800,0.0,0.0
2018-02-06,62.144,63.583,60.997,62.671,1321000,0.0,0.0
2018-02-07,62.506,63.748,62.317,63.213,1103100,0.0,0.0
2018-02-08,63.08,63.355,60.942,60.965,1216400,0.0,0.0
2018-02-09,61.445,63.748,61.02,63.19,2314900,0.0,0.0
2018-02-12,63.41,63.74,61.791,63.512,1196400,0.0,0.0
2018-02-13,63.512,65.257,63.449,64.911,971600,0.0,0.0
2018-02-14,64.031,64.196,63.025,63.779,1056900,0.0,0.0
2018-02-15,64.227,65.139,64.023,64.856,1124800,0.0,0.0
